epoch,loss,acc
1,0.49341,0.840316
2,0.304674,0.890623
3,0.283149,0.898461
4,0.272128,0.899458
5,0.276401,0.90124
6,0.256006,0.903449
7,0.24338,0.907368
8,0.231867,0.91428
9,0.218435,0.919125
10,0.211251,0.922331
11,0.210234,0.921263
12,0.201863,0.925182
13,0.197939,0.92454
14,0.191725,0.929243
15,0.185743,0.930597
16,0.182525,0.932877
17,0.181886,0.932592
18,0.174901,0.932236
19,0.177785,0.932806
20,0.166333,0.939219
21,0.162555,0.93872
22,0.158544,0.941499
23,0.158328,0.939005
24,0.14899,0.943566
25,0.149774,0.944991
26,0.145371,0.947342
27,0.137043,0.949337
28,0.143009,0.94834
29,0.13275,0.951903
30,0.126139,0.953541
31,0.124511,0.954325
32,0.121965,0.954753
33,0.119168,0.95575
34,0.114267,0.95746
35,0.113444,0.959527
36,0.110147,0.958886
37,0.107969,0.961522
38,0.112599,0.958458
39,0.104565,0.962805
40,0.098995,0.963303
41,0.10173,0.962805
42,0.094534,0.966581
43,0.094676,0.966082
44,0.099243,0.962805
45,0.094188,0.966439
46,0.086949,0.968719
47,0.087192,0.967222
48,0.086793,0.969574
49,0.087561,0.968719
50,0.082341,0.970358
