epoch,loss,acc
1,0.300024,0.890409
2,0.194672,0.932521
3,0.166921,0.941072
4,0.14356,0.950477
5,0.134669,0.953826
6,0.119542,0.958316
7,0.097465,0.965869
8,0.088818,0.969859
9,0.082868,0.968363
10,0.071944,0.974704
11,0.065743,0.977341
12,0.050181,0.982756
13,0.058133,0.97955
14,0.045457,0.983896
15,0.058092,0.978908
16,0.050101,0.9824
17,0.047815,0.985108
18,0.052356,0.981545
19,0.04117,0.985891
20,0.044531,0.984894
21,0.040587,0.986105
22,0.041746,0.985606
23,0.044509,0.984466
